Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
Brand C,91942,382,15.3,6,0.705,0.21200000000000002,0.625,5844.6
Brand A,70075,197,32.6,4,0.2425,0.904,0.375,6422.200000000001
Brand C,84524,188,34.9,6,0.22,0.996,0.625,6561.2
Brand E,68939,258,15.1,2,0.395,0.204,0.125,3895.7999999999997
Brand X,66505,277,13.0,8,0.4425,0.12,0.875,3601.0
Brand W,92762,125,18.5,1,0.0625,0.34,0.0,2312.5
Brand Y,99356,284,20.6,3,0.46,0.42400000000000004,0.25,5850.400000000001
Brand A,38486,445,22.0,4,0.8625,0.48,0.375,9790.0
Brand A,54628,426,13.5,4,0.815,0.14,0.375,5751.0
Brand D,93925,250,22.1,9,0.375,0.48400000000000004,1.0,5525.0
Brand D,91392,196,34.6,9,0.24,0.9840000000000001,1.0,6781.6
Brand W,44426,243,28.9,1,0.3575,0.7559999999999999,0.0,7022.7
Brand B,80911,380,14.0,5,0.7,0.16,0.5,5320.0
Brand Z,70801,434,12.1,7,0.835,0.08399999999999999,0.75,5251.4
Brand Y,56553,267,26.6,3,0.4175,0.664,0.25,7102.200000000001
Brand C,98956,302,19.7,6,0.505,0.38799999999999996,0.625,5949.4
Brand D,41342,397,20.9,9,0.7425,0.43599999999999994,1.0,8297.3
Brand Y,56788,371,16.6,3,0.6775,0.26400000000000007,0.25,6158.6
Brand W,73681,368,22.8,1,0.67,0.512,0.0,8390.4
Brand C,63849,448,23.3,6,0.87,0.532,0.625,10438.4
Brand D,66440,392,31.5,9,0.73,0.86,1.0,12348.0
Brand D,32201,443,31.4,9,0.8575,0.856,1.0,13910.199999999999
Brand C,58132,271,14.4,6,0.4275,0.17600000000000002,0.625,3902.4
Brand W,55534,289,21.3,1,0.4725,0.452,0.0,6155.7
Brand D,58482,326,28.2,9,0.565,0.728,1.0,9193.199999999999
Brand D,62941,415,30.4,9,0.7875,0.816,1.0,12616.0
Brand Z,38558,425,33.3,7,0.8125,0.9319999999999999,0.75,14152.499999999998
Brand Z,89631,159,30.4,7,0.1475,0.816,0.75,4833.599999999999
Brand Y,81392,123,28.8,3,0.0575,0.752,0.25,3542.4
Brand Z,88737,133,15.3,7,0.0825,0.21200000000000002,0.75,2034.9
Brand Y,83940,418,30.6,3,0.795,0.8240000000000001,0.25,12790.800000000001
Brand W,78623,406,28.6,1,0.765,0.7440000000000001,0.0,11611.6
Brand E,54572,462,34.2,2,0.905,0.9680000000000001,0.125,15800.400000000001
Brand X,90994,412,21.5,8,0.78,0.46,0.875,8858.0
Brand E,93796,301,19.8,2,0.5025,0.392,0.125,5959.8
Brand Y,87899,375,34.5,3,0.6875,0.98,0.25,12937.5
Brand X,53136,348,29.8,8,0.62,0.792,0.875,10370.4
Brand D,59191,372,18.0,9,0.68,0.32,1.0,6696.0
Brand W,31549,293,20.0,1,0.4825,0.4,0.0,5860.0
Brand Y,65818,191,23.1,3,0.2275,0.524,0.25,4412.1
Brand W,32910,469,27.6,1,0.9225,0.7040000000000001,0.0,12944.400000000001
Brand A,38830,145,28.0,4,0.1125,0.72,0.375,4060.0
Brand B,49391,377,29.0,5,0.6925,0.76,0.5,10933.0
Brand Z,91045,479,15.4,7,0.9475,0.21600000000000003,0.75,7376.6
Brand D,83677,451,14.2,9,0.8775,0.16799999999999998,1.0,6404.2
Brand A,86547,237,22.0,4,0.3425,0.48,0.375,5214.0
Brand B,63487,399,26.4,5,0.7475,0.6559999999999999,0.5,10533.599999999999
Brand C,56290,206,19.9,6,0.265,0.39599999999999996,0.625,4099.4
Brand D,47458,388,24.8,9,0.72,0.5920000000000001,1.0,9622.4
Brand E,61479,342,22.3,2,0.605,0.49200000000000005,0.125,7626.6
Brand X,87307,488,14.2,8,0.97,0.16799999999999998,0.875,6929.599999999999
Brand D,71988,343,16.1,9,0.6075,0.24400000000000005,1.0,5522.3
